line,name
Blue Line,Versova
Blue Line,DN Nagar
Blue Line,Azad Nagar
Blue Line,Andheri
Blue Line,Western Express Highway
Blue Line,Chakala JB Nagar
Blue Line,Airport Road
Blue Line,Marol Naka
Blue Line,Saki Naka
Blue Line,Asalpha
Blue Line,Jagruti Nagar
Blue Line,
Yellow Line,Dahisar East
Yellow Line,Anand Nagar
Yellow Line,Kandarpada
Yellow Line,Dahisar West
Yellow Line,IC Colony
Yellow Line,Borivali West
Yellow Line,Shimpoli
Yellow Line,Kandivali West
Yellow Line,Malad West
Yellow Line,Lower Malad
Yellow Line,Valnai
Yellow Line,Dhanukarwadi
Yellow Line,DN 
Aqua Line,Aarey
Aqua Line,SEEPZ
Aqua Line,MIDC Andheri
Aqua Line,Marol Naka
Aqua Line,Sahar Road
Aqua Line,Airport T2
Aqua Line,Santacruz
Aqua Line,CSMIA T1
Aqua Line,Bandra Colony
Aqua Line,BKC
Aqua Line,Dharavi
Aqua Line,Shitala Devi
Aqua Line,Dadar
Aqua Line,Siddhivinayak
Aqua Line,Worli
Aqua Line,Acharya Atre Chowk
Aqua Line,Science Centre
Aqua Line,Mahalaxmi
Aqua Line,Mumbai Central
Aqua Line,Grant Road
Aqua Line,Girgaon
Aqua Line,Kalbadevi
Aqua Line,CSMT
Aqua Line,Hutatma Chowk
Aqua Line,Churchgate
Aqua Line,Mantralaya
Aqua Line,Cuffe Parade